,Experiment name:,Sample experiment
Duration:,5 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0;1790
'0:0:0.05;1840
'0:0:0.1;1891
'0:0:0.15;1936
'0:0:0.2;1983
'0:0:0.25;2025
'0:0:0.3;2074
'0:0:0.35;2114
'0:0:0.4;2145
'0:0:0.45;2174
'0:0:0.5;2210
'0:0:0.55;2240
'0:0:0.6;2253
'0:0:0.65;2235
'0:0:0.7;2192
'0:0:0.75;2142
'0:0:0.8;2084
'0:0:0.85;2031
'0:0:0.9;1973
'0:0:0.95;1916
'0:0:1.0;1855
'0:0:1.05;1806
'0:0:1.1;1758
'0:0:1.15;1714
'0:0:1.2;1668
'0:0:1.25;1632
'0:0:1.3;1600
'0:0:1.35;1580
'0:0:1.4;1566
'0:0:1.45;1556
'0:0:1.5;1545
'0:0:1.55;1536
'0:0:1.6;1530
'0:0:1.65;1526
'0:0:1.7;1523
'0:0:1.75;1520
'0:0:1.8;1516
'0:0:1.85;1516
'0:0:1.9;1510
'0:0:1.95;1500
'0:0:2.0;1495
'0:0:2.05;1496
'0:0:2.1;1494
'0:0:2.15;1493
'0:0:2.2;1497
'0:0:2.25;1500
'0:0:2.3;1503
'0:0:2.35;1507
'0:0:2.4;1512
'0:0:2.45;1514
'0:0:2.5;1516
'0:0:2.55;1518
'0:0:2.6;1518
'0:0:2.65;1517
'0:0:2.7;1519
'0:0:2.75;1515
'0:0:2.8;1505
'0:0:2.85;1500
'0:0:2.9;1501
'0:0:2.95;1502
'0:0:3.0;1509
'0:0:3.05;1527
'0:0:3.1;1558
'0:0:3.15;1594
'0:0:3.2;1638
'0:0:3.25;1684
'0:0:3.3;1735
'0:0:3.35;1781
'0:0:3.4;1832
'0:0:3.45;1877
'0:0:3.5;1922
'0:0:3.55;1963
'0:0:3.6;2007
'0:0:3.65;2043
'0:0:3.7;2080
'0:0:3.75;2115
'0:0:3.8;2150
'0:0:3.85;2170
'0:0:3.9;2169
'0:0:3.95;2141
'0:0:4.0;2091
'0:0:4.05;2036
'0:0:4.1;1975
'0:0:4.15;1919
'0:0:4.2;1863
'0:0:4.25;1813
'0:0:4.3;1764
'0:0:4.35;1725
'0:0:4.4;1685
'0:0:4.45;1648
'0:0:4.5;1612
'0:0:4.55;1585
'0:0:4.6;1562
'0:0:4.65;1549
'0:0:4.7;1540
'0:0:4.75;1534
'0:0:4.8;1530
'0:0:4.85;1524
'0:0:4.9;1519
'0:0:4.95;1518
'0:0:5.0;1517
'0:0:5.05;1515
'0:0:5.1;1515
'0:0:5.15;1516
'0:0:5.2;1509
'0:0:5.25;1500
'0:0:5.3;1497
'0:0:5.35;1494
'0:0:5.4;1492
'0:0:5.45;1493
'0:0:5.5;1496
'0:0:5.55;1499
'0:0:5.6;1500
'0:0:5.65;1503
